id,book_id,isbn,authors,original_publication_year,title
85,370493,60256656,Shel Silverstein,1964,The Giving Tree
86,32542,385338600,John Grisham,1989,A Time to Kill
87,1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1)
88,6442769,014241493X,John Green,2008,Paper Towns
89,21787,345418263,William Goldman,1973,The Princess Bride 
90,231804,014038572X,S.E. Hinton,1967,The Outsiders
91,6186357,385737947,James Dashner,2009,"The Maze Runner (Maze Runner, #1)"
92,1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden
94,320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude
95,5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray
96,13536860,345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)"
97,17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula
98,5060378,307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)"
99,11857408,1612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)"
100,7244,60786507,Barbara Kingsolver,1998,The Poisonwood Bible
101,4137,349113912,David Sedaris,2000,Me Talk Pretty One Day
102,19543,99408392,Maurice Sendak,1963,Where the Wild Things Are
103,7126,140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo
104,6288,307265439,Cormac McCarthy,2006,The Road
105,18710190,7524277,Veronica Roth,2013,"Allegiant (Divergent, #3)"
106,9418327,,Tina Fey,2011,Bossypants
107,3473,446693804,Nicholas Sparks,1999,A Walk to Remember
108,9416,440241413,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)"
109,24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables
110,10572,553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)"
111,10441,143037145,Kim Edwards,2005,The Memory Keeper's Daughter
112,15507958,670026603,Jojo Moyes,2012,"Me Before You (Me Before You, #1)"
113,168668,684833395,Joseph Heller,1961,Catch-22
114,6900,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie
115,2187,312422156,Jeffrey Eugenides,2002,Middlesex
116,24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer
117,18131,440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
118,7763,143038095,Amy Tan,1989,The Joy Luck Club
119,38447,038549081X,Margaret Atwood,1985,The Handmaid's Tale
120,452306,385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
121,7604,,"Vladimir Nabokov, Craig Raine",1955,Lolita
122,37442,60987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
123,5358,582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)"
124,7937843,316098337,Emma Donoghue,2010,Room
125,1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet
126,234225,340839937,Frank Herbert,1965,Dune (Dune Chronicles #1)
127,2612,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference
128,11084145,1451648537,Walter Isaacson,2011,Steve Jobs
129,332613,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest
130,2165,684830493,Ernest Hemingway,1952,The Old Man and the Sea
131,4395,142000663,John Steinbeck,1939,The Grapes of Wrath
132,3431,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven
133,8127,451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)"
134,3777732,1416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)"
135,62291,055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)"
136,137791,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood
137,10964,440242940,Diana Gabaldon,1991,"Outlander (Outlander, #1)"
138,12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter
139,9460487,1594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
140,6892870,030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
141,18007564,804139024,Andy Weir,2012,The Martian
142,5043,451207149,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)"
143,18143977,1476746583,Anthony Doerr,2014,All the Light We Cannot See
144,8664353,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
145,976,671027387,Dan Brown,2001,Deception Point
146,17333223,316055433,Donna Tartt,2013,The Goldfinch
147,1217100,1595141715,Jay Asher,2007,Thirteen Reasons Why
148,2865,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring
149,4374400,525421033,Gayle Forman,2009,"If I Stay (If I Stay, #1)"
150,4989,312353766,Anita Diamant,1997,The Red Tent
151,28186,786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
152,5526,446528056,Nicholas Sparks,2006,Dear John
153,1582996,1416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)"
154,8852,743477103,William Shakespeare,1606,Macbeth
155,15241,618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)"
156,42156,031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)"
157,23772,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham
158,6310,142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
159,2120932,1423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
160,2623,192833596,Charles Dickens,1860,Great Expectations
161,18512,345339738,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)"
162,49552,,"Albert Camus, Matthew    Ward",1942,The Stranger
163,7736182,142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)"
164,15745753,1250012570,Rainbow Rowell,2013,Eleanor & Park
165,13497,055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)"
166,7735333,525423648,Ally Condie,2010,"Matched (Matched, #1)"
167,4407,747263744,Neil Gaiman,2001,"American Gods (American Gods, #1)"
168,149267,385199570,"Stephen King, Bernie Wrightson",1978,The Stand
169,6400090,446547565,Nicholas Sparks,2008,The Last Song
170,11125,552151696,Dan Brown,1998,Digital Fortress
171,6969,141439580,"Jane Austen, Fiona Stafford",1815,Emma
172,15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina
173,227463,393312836,Anthony Burgess,1962,A Clockwork Orange
174,1812457,964729237,William Paul Young,2007,The Shack
175,4502507,739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)"
176,18342,451169514,Stephen King,1986,It
177,7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment
178,6514,61148512,Sylvia Plath,1963,The Bell Jar
179,252577,7205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)"
180,52036,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha
181,168642,679745580,Truman Capote,1965,In Cold Blood
182,6304335,316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)"
183,7171637,1416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)"
184,39988,141301066,"Roald Dahl, Quentin Blake",1988,Matilda
185,9361589,385534639,Erin Morgenstern,2011,The Night Circus
186,37470,743227441,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
187,24770,689865384,Scott Westerfeld,2005,"Uglies (Uglies, #1)"
188,10664113,,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)"
189,33,618640150,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)"
190,12262741,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail
191,472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen
192,186074,075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)"
193,3228917,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success
194,153747,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale"
195,2728527,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society
196,5759,393327345,Chuck Palahniuk,1996,Fight Club
197,301082,441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)"
198,11486,671727796,Alice Walker,1982,The Color Purple
199,12691,739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog
200,16299,312330871,Agatha Christie,1939,And Then There Were None
201,6411961,385504225,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)"
202,6339664,1416989412,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)"
203,11505797,,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)"
204,5326,1561797464,Charles Dickens,1843,A Christmas Carol
205,43763,345476875,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)"
206,10507293,62059939,Kiera Cass,2012,"The Selection (The Selection, #1)"
207,6853,312362080,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)"
208,6493208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks
209,23807,99446782,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)"
210,345627,159514174X,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)"
211,40102,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking
212,6867,038572179X,Ian McEwan,2001,Atonement
213,485894,553213695,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis
214,561456,141382899,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)"
215,9969571,030788743X,Ernest Cline,2011,Ready Player One
216,3153910,1554681723,Garth Stein,2006,The Art of Racing in the Rain
217,21996,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
218,13572249,425263908,Sylvia Day,2012,"Bared to You (Crossfire, #1)"
219,11127,66238501,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
220,3609760,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion
221,60748,1558743669,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)"
222,7869,752864327,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)"
223,249747,786817879,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)"
224,6487308,385738935,Lauren Kate,2009,"Fallen (Fallen, #1)"
225,4406,142000655,John Steinbeck,1952,East of Eden
226,5886881,307341569,Gillian Flynn,2009,Dark Places
227,5359,385339089,John Grisham,1993,The Client
228,228333,312291639,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)"
229,24213,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass
230,2156,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion
231,556602,312370830,Tatiana de Rosnay,2007,Sarah's Key
232,43615,452284694,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)"
233,9712,140003468X,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera
234,439288,014131088X,Laurie Halse Anderson,1999,Speak
235,17802724,399159347,Liane Moriarty,2013,The Husband's Secret
236,1898,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster
237,10592,1416524304,Stephen King,1974,Carrie
238,242006,031242227X,Augusten Burroughs,2002,Running with Scissors
239,8908,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War
240,17212231,385537859,Dan Brown,2013,"Inferno (Robert Langdon, #4)"
241,47281,440227534,Lois Lowry,1989,Number the Stars
242,13145,446692638,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)"
243,10614,450417395,Stephen King,1987,Misery
244,66559,307341542,Gillian Flynn,2006,Sharp Objects
245,2839,439366771,Katherine Paterson,1977,Bridge to Terabithia
246,30183,312360266,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)"
247,36072,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
248,1622,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream
249,4588,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close
250,11387515,375869026,R.J. Palacio,2012,Wonder
251,233093,039480001X,Dr. Seuss,1957,The Cat in the Hat
252,11235712,312641893,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)"
253,16160797,316206849,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)"
254,6068551,545123267,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)"
255,662,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged
256,49436,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
257,13023,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland
258,1232,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
259,7631105,385738757,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)"
260,4865,,Dale Carnegie,1936,How to Win Friends and Influence People
261,480479,767900383,Frances Mayes,1996,Under the Tuscan Sun
262,19486412,399167064,Liane Moriarty,2014,Big Little Lies
263,24337,590920685,Gail Carson Levine,1997,Ella Enchanted
264,3876,743297334,Ernest Hemingway,1926,The Sun Also Rises
265,14891,61120073,Betty  Smith,1943,A Tree Grows in Brooklyn
266,13148,446677388,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)"
267,21853621,312577222,Kristin Hannah,2015,The Nightingale
268,6334,1400078776,Kazuo Ishiguro,2005,Never Let Me Go
269,366522,786890754,Cecelia Ahern,2003,P.S. I Love You
270,12873,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca
271,18373,156030306,Daniel Keyes,1966,Flowers for Algernon
272,6952,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate
273,1103,812968069,Lisa See,2005,Snow Flower and the Secret Fan
274,22034,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather
275,49750,525476881,John Green,2006,An Abundance of Katherines
276,29579,553803719,Isaac Asimov,1951,Foundation (Foundation #1)
277,15783514,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane
278,30118,60513063,Shel Silverstein,1981,A Light in the Attic
279,29056083,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
280,11614718,61726834,Lauren Oliver,2011,"Delirium (Delirium, #1)"
281,32499,385339704,John Grisham,1992,The Pelican Brief
282,17061,61139378,Neil Gaiman,2002,Coraline
283,12067,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
284,70401,140042598,Jack Kerouac,1955,On the Road
285,16181775,1476729085,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)"
286,3063499,446579939,Nicholas Sparks,2008,The Lucky One
287,2122,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead
288,19691,425172902,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)"
289,76620,038039586X,Richard Adams,1972,"Watership Down (Watership Down, #1)"
290,10335308,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns)
291,3591262,375414495,Abraham Verghese,2009,Cutting for Stone
292,140225,006112527X,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
293,295,753453800,Robert Louis Stevenson,1882,Treasure Island
294,9520360,1423140591,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)"
295,10644930,1451627289,Stephen King,2011,11/22/63
296,4948,241003008,Eric Carle,1969,The Very Hungry Caterpillar Board Book
297,135479,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle
298,2493,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine
299,7933292,849946158,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
300,39999,385751060,John Boyne,2006,The Boy in the Striped Pajamas
301,4900,1892295490,Joseph Conrad,1899,Heart of Darkness
302,7812659,044654759X,Nicholas Sparks,2010,Safe Haven
303,52529,1582701709,Rhonda Byrne,2006,"The Secret (The Secret, #1)"
304,227711,60987561,Wally Lamb,1998,I Know This Much Is True
305,10583,1416524347,Stephen King,1983,Pet Sematary
306,5203,671021001,Wally Lamb,1992,She's Come Undone
307,1215032,756404738,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
308,33724,440241901,Sophie Kinsella,2003,Can You Keep a Secret?
309,6752378,1442403543,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)"
310,14748,743418174,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)"
311,3412,380018179,Colleen McCullough,1977,The Thorn Birds
312,2213661,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book
313,13158800,1451681739,M.L. Stedman,2012,The Light Between Oceans
314,28194,439709105,"Cornelia Funke, Anthea Bell",2003,"Inkheart (Inkworld, #1)"
315,4894,91883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?
316,9791,307279464,Bill Bryson,1997,A Walk in the Woods
317,13214,553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings
318,15818107,61950726,Christina Baker Kline,2013,Orphan Train
319,8755776,1442416866,Cassandra Clare,2012,"City of Lost Souls (The Mortal Instruments, #5)"
320,13526165,316204277,Maria Semple,2012,"Where'd You Go, Bernadette"
321,10365,375806814,Wilson Rawls,1961,Where the Red Fern Grows
322,14497,60557818,Neil Gaiman,1996,Neverwhere
323,9717,571224385,"Milan Kundera, Michael Henry Heim",1984,The Unbearable Lightness of Being
324,16068905,,Rainbow Rowell,2013,Fangirl
325,4473,552135399,John Irving,1989,A Prayer for Owen Meany
326,32234,316182540,Janet Fitch,1999,White Oleander
327,9275658,039925675X,Marie Lu,2011,"Legend (Legend, #1)"
328,14866,743496728,Jodi Picoult,2007,Nineteen Minutes
329,2318271,1401323251,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture
330,228665,812511816,Robert Jordan,1990,"The Eye of the World (Wheel of Time, #1)"
331,10916,61150142,Jodi Picoult,1998,The Pact
332,65605,60764902,C.S. Lewis,1953,"The Magician's Nephew (Chronicles of Narnia, #6)"
333,2153405,595440096,Lisa Genova,2007,Still Alice
334,13596809,425263916,Sylvia Day,2012,"Reflected in You (Crossfire, #2)"
335,6689,375814248,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach
336,13137,446696617,James Patterson,2001,"1st to Die (Women's Murder Club, #1)"
337,13,345453743,Douglas Adams,1996,The Ultimate Hitchhiker's Guide to the Galaxy
338,6280118,340896965,David Nicholls,2009,One Day
339,32929,60775858,"Margaret Wise Brown, Clement Hurd",1947,Goodnight Moon
340,7747374,61969559,Pittacus Lore,2010,"I Am Number Four (Lorien Legacies, #1)"
341,1371,140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,The Iliad
342,13497818,316228532,J.K. Rowling,2012,The Casual Vacancy
343,24192,385339690,John Grisham,1996,The Runaway Jury
344,4138,316777730,David Sedaris,1997,Naked
345,45978,375840400,Christopher Paolini,2005,"Eldest (The Inheritance Cycle, #2)"
346,236093,140621679,"L. Frank Baum, W.W. Denslow",1900,"The Wonderful Wizard of Oz (Oz, #1)"
347,121749,000720230X,C.S. Lewis,1951,"Prince Caspian (Chronicles of Narnia, #2)"
348,16143347,,E. Lockhart,2014,We Were Liars
349,11590,450031063,Stephen King,1975,'Salem's Lot
350,7745,679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas
351,10025305,1416975888,Cassandra Clare,2011,"Clockwork Prince (The Infernal Devices, #2)"
